cust_id,full_name,gender,age,income_annual_inr,income_segment,credit_score,risk_bucket,region,zone,urban_rural_flag,num_products,cbs_total_clr_bal_amt,aa_avg_monthly_inflows,aa_avg_monthly_outflows,ml_unified_customer_proba,cltv_profit_actual,cltv_profit_ml,cltv_profit_final,cltv_decile_final,hybrid_score_0_100_final
C00072,Vihaan Bansal,M,63,145467.08,LOW,662,MEDIUM,NORTH,NORTH,RURAL_SEMIURBAN,2,4295.0199999999995,5635.134999999999,22981.904166666664,0.8008942476959371,381,456.73369083169166,381.0,6,65.0
C00036,Riya Shah,F,39,200000.0,LOW,633,MEDIUM,SOUTH,SOUTH,URBAN,3,2042.71,7729.825833333333,55660.275,0.2987542641368985,5898,5836.2320935415255,5898.0,1,65.0
C00404,Prachi Kulkarni,F,29,118055.72,LOW,643,MEDIUM,WEST,WEST,URBAN,2,5228.42,13492.230833333331,29405.4575,0.3022733585202265,2749,2740.6708529812245,2749.0,1,65.0
C00486,Meera Shah,F,45,200000.0,MID,743,LOW,NORTH,NORTH,RURAL_SEMIURBAN,3,5199.629999999999,11863.825,41411.39833333334,0.2722414115695424,4762,4777.564416355302,4762.0,1,64.0
C00556,Ishita Iyer,F,30,782450.722571063,MID,673,MEDIUM,WEST,WEST,URBAN,2,2064.973541600881,,,0.667529717959806,,549.5267226675142,549.5267226675142,5,63.0
C00300,Prachi Gowda,F,45,341634.5,MID,748,LOW,NORTH,NORTH,URBAN,2,5404.8099999999995,5763.769166666666,20482.345,0.9650845397856612,232,258.19944395275513,232.0,8,63.0
C00908,Ayesha Gupta,F,36,926389.5018621272,MID,881,LOW,NORTH,NORTH,URBAN,2,4285.718694850358,,,0.7694124126575125,,375.0990837851561,375.0990837851561,6,63.0
C00006,Manav Iyer,M,55,148884.44,LOW,632,MEDIUM,WEST,WEST,URBAN,2,6964.5599999999995,2284.3883333333333,5082.6525,0.8568003419497935,,356.37669038005794,356.37669038005794,7,63.0
C00811,Arjun Ghosh,M,18,511646.85058562906,MID,779,LOW,NORTH,NORTH,URBAN,2,15018.155061551783,,,0.5375375599636854,,784.6943657607496,784.6943657607496,4,62.0
C00131,Aditya Khan,M,52,200000.0,LOW,654,MEDIUM,NORTH,NORTH,URBAN,2,464.18999999999994,0.0,18160.639166666668,0.4390262044875979,971,996.1391415429282,971.0,3,62.0
C00122,Sara Nair,F,49,200000.0,LOW,536,HIGH,SOUTH,SOUTH,URBAN,2,3601.9900000000002,6942.574166666666,19221.424166666668,0.7370007606072461,372,432.65741458930677,372.0,6,62.0
C00076,Ananya Gupta,F,63,117275.91,LOW,665,MEDIUM,CENTRAL,CENTRAL,RURAL_SEMIURBAN,3,9186.95,,,0.5197818858539495,786,792.7804228250449,786.0,4,61.0
C00286,Arjun Bansal,M,72,200000.0,LOW,660,MEDIUM,EAST,EAST,URBAN,2,850.41,0.0,3163.7325,0.5186341804349028,,745.6613440731285,745.6613440731285,4,61.0
C00670,Manav Reddy,M,38,515092.431376711,MID,736,LOW,NORTH,NORTH,URBAN,3,16679.583267724855,,,0.7200299868132543,,430.91371482823354,430.91371482823354,6,61.0
